,,,,,,,,,,
,,,,,,,,,,
Well,Well Position,Reporter,Task,Target Name,Sample Name,Efficiency,CT,Quantity,Treatment,Region
,A1,FAM,Blank,,,N/A,N/A,,,
,A1,TMR,Blank,,,N/A,N/A,,,
,A2,FAM,Blank,,,N/A,N/A,,,
,A2,TMR,Blank,,,N/A,N/A,,,
,A3,FAM,Standard,NLGN1,,57.11%,21.89,50,,
,A3,TMR,Standard,NLGN1,,N/A,N/A,50,,
,A4,FAM,Standard,NLGN1,,61.64%,22.98,50,,
,A4,TMR,Standard,NLGN1,,N/A,N/A,50,,
,A5,FAM,Standard,NLGN1,,45.63%,24.81,12.5,,
,A5,TMR,Standard,NLGN1,,N/A,N/A,12.5,,
,A6,FAM,Standard,NLGN1,,47.71%,23.93,12.5,,
,A6,TMR,Standard,NLGN1,,N/A,N/A,12.5,,
,A7,FAM,Standard,NLGN1,,50.65%,26.01,3.125,,
,A7,TMR,Standard,NLGN1,,N/A,N/A,3.125,,
,A8,FAM,Standard,NLGN1,,47.14%,25.96,3.125,,
,A8,TMR,Standard,NLGN1,,N/A,N/A,3.125,,
,A9,FAM,Standard,NLGN1,,44.88%,28.03,0.7813,,
,A9,TMR,Standard,NLGN1,,N/A,N/A,0.7813,,
,A10,FAM,Standard,NLGN1,,50.03%,27.95,0.7813,,
,A10,TMR,Standard,NLGN1,,N/A,N/A,0.7813,,
,A11,FAM,Standard,NLGN1,,59.91%,30.14,0.1953,,
,A11,TMR,Standard,NLGN1,,N/A,N/A,0.1953,,
,A12,FAM,Standard,NLGN1,,45.13%,29.27,0.1953,,
,A12,TMR,Standard,NLGN1,,N/A,N/A,0.1953,,
,B1,FAM,Sample,NLGN1,B4bisNST,50.57%,30.71,0.1279,Saline,NST
,B1,TMR,Sample,NLGN1,B4bisNST,N/A,N/A,,Saline,NST
,B2,FAM,Sample,NLGN1,B4bisNST,45.00%,30.29,0.1696,Saline,NST
,B2,TMR,Sample,NLGN1,B4bisNST,N/A,N/A,,Saline,NST
,B3,FAM,Sample,NLGN1,B4bisNST,46.18%,30.2,0.1807,Saline,NST
,B3,TMR,Sample,NLGN1,B4bisNST,N/A,N/A,,Saline,NST
,B4,FAM,Sample,NLGN1,B4bisGP,32.11%,26.6,2.053,Saline,GP
,B4,TMR,Sample,NLGN1,B4bisGP,N/A,N/A,,Saline,GP
,B5,FAM,Sample,NLGN1,B4bisGP,45.30%,28.43,0.5979,Saline,GP
,B5,TMR,Sample,NLGN1,B4bisGP,N/A,N/A,,Saline,GP
,B6,TMR,Sample,NLGN1,B4bisGP,N/A,N/A,,Saline,GP
,B6,FAM,Sample,NLGN1,B4bisGP,47.44%,28.18,0.708,Saline,GP
,B7,TMR,Sample,NLGN1,B4bisSN,N/A,N/A,,Saline,SN
,B7,FAM,Sample,NLGN1,B4bisSN,47.60%,27.56,1.073,Saline,SN
,B8,TMR,Sample,NLGN1,B4bisSN,N/A,N/A,,Saline,SN
,B8,FAM,Sample,NLGN1,B4bisSN,48.66%,28.39,0.6151,Saline,SN
,B9,TMR,Sample,NLGN1,B4bisSN,N/A,N/A,,Saline,SN
,B9,FAM,Sample,NLGN1,B4bisSN,35.46%,27.24,1.339,Saline,SN
,B10,TMR,Sample,NLGN1,B6NST,N/A,N/A,,Saline,ST
,B10,FAM,Sample,NLGN1,B6NST,62.45%,29.65,0.2622,Saline,ST
,B11,TMR,Sample,NLGN1,B6NST,N/A,N/A,,Saline,ST
,B11,FAM,Sample,NLGN1,B6NST,55.41%,29.68,0.2571,Saline,ST
,B12,TMR,Sample,NLGN1,B6NST,N/A,N/A,,Saline,ST
,B12,FAM,Sample,NLGN1,B6NST,73.88%,28.92,0.4286,Saline,ST
,C1,FAM,Sample,NLGN1,R6 NST,61.64%,28.72,0.4903,Saline,NST
,C1,TMR,Sample,NLGN1,R6 NST,N/A,N/A,,Saline,NST
,C2,FAM,Sample,NLGN1,R6 NST,52.01%,29.03,0.3972,Saline,NST
,C2,TMR,Sample,NLGN1,R6 NST,N/A,N/A,,Saline,NST
,C3,FAM,Sample,NLGN1,R6 NST,59.43%,28.76,0.4771,Saline,NST
,C3,TMR,Sample,NLGN1,R6 NST,N/A,N/A,,Saline,NST
,C4,FAM,Sample,NLGN1,R6 GP,46.03%,27.07,1.5,Saline,GP
,C4,TMR,Sample,NLGN1,R6 GP,N/A,N/A,,Saline,GP
,C5,FAM,Sample,NLGN1,R6 GP,53.51%,26.83,1.761,Saline,GP
,C5,TMR,Sample,NLGN1,R6 GP,N/A,N/A,,Saline,GP
,C6,FAM,Sample,NLGN1,R6 GP,43.63%,26.86,1.729,Saline,GP
,C6,TMR,Sample,NLGN1,R6 GP,N/A,N/A,,Saline,GP
,C7,FAM,Sample,NLGN1,R6 SN,49.11%,29.6,0.2719,Saline,SN
,C7,TMR,Sample,NLGN1,R6 SN,N/A,N/A,,Saline,SN
,C8,FAM,Sample,NLGN1,R6 SN,43.47%,29.04,0.3952,Saline,SN
,C8,TMR,Sample,NLGN1,R6 SN,N/A,N/A,,Saline,SN
,C9,FAM,Sample,NLGN1,R6 SN,55.63%,30.53,0.1449,Saline,SN
,C9,TMR,Sample,NLGN1,R6 SN,N/A,N/A,,Saline,SN
,C10,FAM,Sample,NLGN1,V3 NST,44.64%,30.69,0.1297,Saline,NST
,C10,TMR,Sample,NLGN1,V3 NST,N/A,N/A,,Saline,NST
,C11,FAM,Sample,NLGN1,V3 NST,53.10%,30.42,0.1554,Saline,NST
,C11,TMR,Sample,NLGN1,V3 NST,N/A,N/A,,Saline,NST
,C12,FAM,Sample,NLGN1,V3 NST,52.70%,30.2,0.1806,Saline,NST
,C12,TMR,Sample,NLGN1,V3 NST,N/A,N/A,,Saline,NST
,D1,FAM,Sample,NLGN1,V3 GP,49.19%,29.08,0.3856,Saline,GP
,D1,TMR,Sample,NLGN1,V3 GP,N/A,N/A,,Saline,GP
,D2,FAM,Sample,NLGN1,V3 GP,53.23%,29.3,0.333,Saline,GP
,D2,TMR,Sample,NLGN1,V3 GP,N/A,N/A,,Saline,GP
,D3,FAM,Sample,NLGN1,V3 GP,50.26%,28.22,0.6867,Saline,GP
,D3,TMR,Sample,NLGN1,V3 GP,N/A,N/A,,Saline,GP
,D4,FAM,Sample,NLGN1,V3 SN,51.80%,27.76,0.9397,Saline,SN
,D4,TMR,Sample,NLGN1,V3 SN,N/A,N/A,,Saline,SN
,D5,FAM,Sample,NLGN1,V3 SN,44.25%,28.57,0.5431,Saline,SN
,D5,TMR,Sample,NLGN1,V3 SN,N/A,N/A,,Saline,SN
,D6,FAM,Sample,NLGN1,V3 SN,52.13%,27.9,0.8559,Saline,SN
,D6,TMR,Sample,NLGN1,V3 SN,N/A,N/A,,Saline,SN
,D7,FAM,Sample,NLGN1,V4 NST,55.25%,30.45,0.153,Saline,NST
,D7,TMR,Sample,NLGN1,V4 NST,N/A,N/A,,Saline,NST
,D8,FAM,Sample,NLGN1,V4 NST,34.94%,29.16,0.3645,Saline,NST
,D8,TMR,Sample,NLGN1,V4 NST,N/A,N/A,,Saline,NST
,D9,FAM,Sample,NLGN1,V4 NST,41.20%,29.27,0.3388,Saline,NST
,D9,TMR,Sample,NLGN1,V4 NST,N/A,N/A,,Saline,NST
,D10,FAM,Sample,NLGN1,V4 GP,40.68%,27.61,1.039,Saline,GP
,D10,TMR,Sample,NLGN1,V4 GP,N/A,N/A,,Saline,GP
,D11,FAM,Sample,NLGN1,V4 GP,53.25%,28.67,0.508,Saline,GP
,D11,TMR,Sample,NLGN1,V4 GP,N/A,N/A,,Saline,GP
,D12,FAM,Sample,NLGN1,V4 GP,52.69%,28.3,0.6525,Saline,GP
,D12,TMR,Sample,NLGN1,V4 GP,N/A,N/A,,Saline,GP
,E1,FAM,Sample,NLGN1,V4 SN,49.36%,27.37,1.226,Saline,SN
,E1,TMR,Sample,NLGN1,V4 SN,N/A,N/A,,Saline,SN
,E2,FAM,Sample,NLGN1,V4 SN,50.08%,28.01,0.7909,Saline,SN
,E2,TMR,Sample,NLGN1,V4 SN,N/A,N/A,,Saline,SN
,E3,FAM,Sample,NLGN1,V4 SN,47.36%,28.31,0.6458,Saline,SN
,E3,TMR,Sample,NLGN1,V4 SN,N/A,N/A,,Saline,SN
