Instrument Serial Number,272530975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Instrument Type,QuantStudio™ 5 System,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Passive Reference,ROX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Post-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pre-read Stage/Step,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quantification Cycle Method,Ct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Signal Smoothing On,true,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stage/ Cycle where Ct Analysis is performed,"Stage2, Step2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
User Name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Well,Well Position,Omit,Sample Name,Target Name,Task,Reporter,Quencher,CT,Ct Mean,Ct SD,Quantity,Quantity Mean,Quantity SD,Y-Intercept,R(superscript 2),Slope,Efficiency,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Amp Status,Comments,Cq Conf,CQCONF,EXPFAIL,HIGHSD,NOAMP,BADROX,PRFDROP
1,A1,0,A AIW00202 iPSC,ISL1,UNKNOWN,FAM,NFQ-MGB,35.240,35.607,0.411,0.012,0.010,0.003,28.415,0.985,-3.580,90.256,1,0.109,1,3,29,Amp,,0.859,N,N,N,N,N,N
2,A2,0,A AIW00202 iPSC,ISL1,UNKNOWN,FAM,NFQ-MGB,36.051,35.607,0.411,0.007,0.010,0.003,28.415,0.985,-3.580,90.256,1,0.109,1,3,32,Inconclusive,,0.901,N,N,N,N,N,N
3,A3,0,A AIW00202 iPSC,ISL1,UNKNOWN,FAM,NFQ-MGB,35.531,35.607,0.411,0.010,0.010,0.003,28.415,0.985,-3.580,90.256,1,0.109,1,3,31,Amp,,0.834,N,N,N,N,N,N
4,A4,0,A AIW00202 MNPC,ISL1,UNKNOWN,FAM,NFQ-MGB,31.548,31.452,0.093,0.133,0.142,0.008,28.415,0.985,-3.580,90.256,1,0.109,1,3,27,Amp,,0.926,N,N,N,N,N,N
5,A5,0,A AIW00202 MNPC,ISL1,UNKNOWN,FAM,NFQ-MGB,31.363,31.452,0.093,0.150,0.142,0.008,28.415,0.985,-3.580,90.256,1,0.109,1,3,26,Amp,,0.933,N,N,N,N,N,N
6,A6,0,A AIW00202 MNPC,ISL1,UNKNOWN,FAM,NFQ-MGB,31.444,31.452,0.093,0.143,0.142,0.008,28.415,0.985,-3.580,90.256,1,0.109,1,3,27,Amp,,0.948,N,N,N,N,N,N
7,A7,0,A AIW00202 2WK,ISL1,UNKNOWN,FAM,NFQ-MGB,23.308,23.410,0.090,26.713,25.040,1.469,28.415,0.985,-3.580,90.256,1,0.109,1,3,19,Amp,,0.861,N,N,N,N,N,N
8,A8,0,A AIW00202 2WK,ISL1,UNKNOWN,FAM,NFQ-MGB,23.477,23.410,0.090,23.963,25.040,1.469,28.415,0.985,-3.580,90.256,1,0.109,1,3,20,Amp,,0.887,N,N,N,N,N,N
9,A9,0,A AIW00202 2WK,ISL1,UNKNOWN,FAM,NFQ-MGB,23.446,23.410,0.090,24.443,25.040,1.469,28.415,0.985,-3.580,90.256,1,0.109,1,3,19,Amp,,0.895,N,N,N,N,N,N
10,A10,0,A AIW00202 4WK,ISL1,UNKNOWN,FAM,NFQ-MGB,25.558,25.789,0.246,6.284,5.458,0.851,28.415,0.985,-3.580,90.256,1,0.109,1,3,21,Amp,,0.967,N,N,N,N,N,N
11,A11,0,A AIW00202 4WK,ISL1,UNKNOWN,FAM,NFQ-MGB,25.763,25.789,0.246,5.507,5.458,0.851,28.415,0.985,-3.580,90.256,1,0.109,1,3,21,Amp,,0.947,N,N,N,N,N,N
12,A12,0,A AIW00202 4WK,ISL1,UNKNOWN,FAM,NFQ-MGB,26.048,25.789,0.246,4.584,5.458,0.851,28.415,0.985,-3.580,90.256,1,0.109,1,3,22,Amp,,0.953,N,N,N,N,N,N
13,A13,0,A AIW00202 iPSC,HB9,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.170,,,,,31.845,0.978,-3.483,93.709,1,0.155,1,3,39,No Amp,,0.000,Y,Y,N,N,N,N
14,A14,0,A AIW00202 iPSC,HB9,UNKNOWN,FAM,NFQ-MGB,38.170,38.170,,0.015,0.015,,31.845,0.978,-3.483,93.709,1,0.155,1,3,34,Inconclusive,,0.616,Y,N,N,N,N,N
15,A15,0,A AIW00202 iPSC,HB9,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.170,,,,,31.845,0.978,-3.483,93.709,1,0.155,1,3,39,No Amp,,0.000,Y,Y,N,N,N,N
16,A16,0,A AIW00202 MNPC,HB9,UNKNOWN,FAM,NFQ-MGB,30.467,30.561,0.150,2.489,2.345,0.226,31.845,0.978,-3.483,93.709,1,0.155,1,3,26,Amp,,0.949,N,N,N,N,N,N
17,A17,0,A AIW00202 MNPC,HB9,UNKNOWN,FAM,NFQ-MGB,30.483,30.561,0.150,2.461,2.345,0.226,31.845,0.978,-3.483,93.709,1,0.155,1,3,25,Amp,,0.954,N,N,N,N,N,N
18,A18,0,A AIW00202 MNPC,HB9,UNKNOWN,FAM,NFQ-MGB,30.734,30.561,0.150,2.085,2.345,0.226,31.845,0.978,-3.483,93.709,1,0.155,1,3,25,Amp,,0.947,N,N,N,N,N,N
19,A19,0,A AIW00202 2WK,HB9,UNKNOWN,FAM,NFQ-MGB,28.072,28.083,0.064,12.125,12.043,0.506,31.845,0.978,-3.483,93.709,1,0.155,1,3,23,Amp,,0.955,N,N,N,N,N,N
20,A20,0,A AIW00202 2WK,HB9,UNKNOWN,FAM,NFQ-MGB,28.025,28.083,0.064,12.504,12.043,0.506,31.845,0.978,-3.483,93.709,1,0.155,1,3,24,Amp,,0.959,N,N,N,N,N,N
21,A21,0,A AIW00202 2WK,HB9,UNKNOWN,FAM,NFQ-MGB,28.151,28.083,0.064,11.501,12.043,0.506,31.845,0.978,-3.483,93.709,1,0.155,1,3,23,Amp,,0.958,N,N,N,N,N,N
22,A22,0,A AIW00202 4WK,HB9,UNKNOWN,FAM,NFQ-MGB,29.695,29.725,0.082,4.145,4.067,0.217,31.845,0.978,-3.483,93.709,1,0.155,1,3,25,Amp,,0.947,N,N,N,N,N,N
23,A23,0,A AIW00202 4WK,HB9,UNKNOWN,FAM,NFQ-MGB,29.662,29.725,0.082,4.235,4.067,0.217,31.845,0.978,-3.483,93.709,1,0.155,1,3,25,Amp,,0.940,N,N,N,N,N,N
24,A24,0,A AIW00202 4WK,HB9,UNKNOWN,FAM,NFQ-MGB,29.818,29.725,0.082,3.822,4.067,0.217,31.845,0.978,-3.483,93.709,1,0.155,1,3,24,Amp,,0.943,N,N,N,N,N,N
25,B1,0,,ISL1,STANDARD,FAM,NFQ-MGB,21.730,21.819,0.078,50.000,,,28.415,0.985,-3.580,90.256,1,0.109,1,3,18,Amp,,0.834,N,N,N,N,N,N
26,B2,0,,ISL1,STANDARD,FAM,NFQ-MGB,21.852,21.819,0.078,50.000,,,28.415,0.985,-3.580,90.256,1,0.109,1,3,18,Amp,,0.806,N,N,N,N,N,N
27,B3,0,,ISL1,STANDARD,FAM,NFQ-MGB,21.876,21.819,0.078,50.000,,,28.415,0.985,-3.580,90.256,1,0.109,1,3,17,Amp,,0.811,N,N,N,N,N,N
37,B13,0,,HB9,STANDARD,FAM,NFQ-MGB,25.463,25.583,0.123,50.000,,,31.845,0.978,-3.483,93.709,1,0.155,1,3,20,Amp,,0.985,N,N,N,N,N,N
38,B14,0,,HB9,STANDARD,FAM,NFQ-MGB,25.577,25.583,0.123,50.000,,,31.845,0.978,-3.483,93.709,1,0.155,1,3,21,Amp,,0.989,N,N,N,N,N,N
39,B15,0,,HB9,STANDARD,FAM,NFQ-MGB,25.709,25.583,0.123,50.000,,,31.845,0.978,-3.483,93.709,1,0.155,1,3,19,Amp,,0.986,N,N,N,N,N,N
49,C1,0,B AIW00202 iPSC,ISL1,UNKNOWN,FAM,NFQ-MGB,31.845,32.431,0.585,0.110,0.079,0.029,28.415,0.985,-3.580,90.256,1,0.109,1,3,27,Amp,,0.913,N,N,Y,N,N,N
50,C2,0,B AIW00202 iPSC,ISL1,UNKNOWN,FAM,NFQ-MGB,32.431,32.431,0.585,0.076,0.079,0.029,28.415,0.985,-3.580,90.256,1,0.109,1,3,28,Amp,,0.926,N,N,Y,N,N,N
51,C3,0,B AIW00202 iPSC,ISL1,UNKNOWN,FAM,NFQ-MGB,33.016,32.431,0.585,0.052,0.079,0.029,28.415,0.985,-3.580,90.256,1,0.109,1,3,28,Amp,,0.906,N,N,Y,N,N,N
52,C4,0,B AIW00202 MNPC,ISL1,UNKNOWN,FAM,NFQ-MGB,30.418,30.551,0.118,0.276,0.254,0.020,28.415,0.985,-3.580,90.256,1,0.109,1,3,26,Amp,,0.923,N,N,N,N,N,N
53,C5,0,B AIW00202 MNPC,ISL1,UNKNOWN,FAM,NFQ-MGB,30.589,30.551,0.118,0.247,0.254,0.020,28.415,0.985,-3.580,90.256,1,0.109,1,3,27,Amp,,0.922,N,N,N,N,N,N
54,C6,0,B AIW00202 MNPC,ISL1,UNKNOWN,FAM,NFQ-MGB,30.645,30.551,0.118,0.238,0.254,0.020,28.415,0.985,-3.580,90.256,1,0.109,1,3,27,Amp,,0.932,N,N,N,N,N,N
55,C7,0,B AIW00202 2WK,ISL1,UNKNOWN,FAM,NFQ-MGB,22.690,22.763,0.086,39.755,37.965,2.086,28.415,0.985,-3.580,90.256,1,0.109,1,3,18,Amp,,0.867,N,N,N,N,N,N
56,C8,0,B AIW00202 2WK,ISL1,UNKNOWN,FAM,NFQ-MGB,22.741,22.763,0.086,38.465,37.965,2.086,28.415,0.985,-3.580,90.256,1,0.109,1,3,18,Amp,,0.865,N,N,N,N,N,N
57,C9,0,B AIW00202 2WK,ISL1,UNKNOWN,FAM,NFQ-MGB,22.858,22.763,0.086,35.675,37.965,2.086,28.415,0.985,-3.580,90.256,1,0.109,1,3,18,Amp,,0.873,N,N,N,N,N,N
58,C10,0,B AIW00202 4WK,ISL1,UNKNOWN,FAM,NFQ-MGB,25.815,25.901,0.080,5.324,5.043,0.262,28.415,0.985,-3.580,90.256,1,0.109,1,3,21,Amp,,0.947,N,N,N,N,N,N
59,C11,0,B AIW00202 4WK,ISL1,UNKNOWN,FAM,NFQ-MGB,25.975,25.901,0.080,4.806,5.043,0.262,28.415,0.985,-3.580,90.256,1,0.109,1,3,21,Amp,,0.941,N,N,N,N,N,N
60,C12,0,B AIW00202 4WK,ISL1,UNKNOWN,FAM,NFQ-MGB,25.914,25.901,0.080,4.998,5.043,0.262,28.415,0.985,-3.580,90.256,1,0.109,1,3,22,Amp,,0.957,N,N,N,N,N,N
61,C13,0,B AIW00202 iPSC,HB9,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.467,,,,,31.845,0.978,-3.483,93.709,1,0.155,1,3,39,No Amp,,0.000,Y,Y,N,N,N,N
62,C14,0,B AIW00202 iPSC,HB9,UNKNOWN,FAM,NFQ-MGB,38.467,38.467,,0.013,0.013,,31.845,0.978,-3.483,93.709,1,0.155,1,3,33,Inconclusive,,0.436,Y,N,N,N,N,N
63,C15,0,B AIW00202 iPSC,HB9,UNKNOWN,FAM,NFQ-MGB,Undetermined,38.467,,,,,31.845,0.978,-3.483,93.709,1,0.155,1,3,39,No Amp,,0.000,Y,Y,N,Y,N,N
64,C16,0,B AIW00202 MNPC,HB9,UNKNOWN,FAM,NFQ-MGB,29.887,29.979,0.089,3.651,3.440,0.202,31.845,0.978,-3.483,93.709,1,0.155,1,3,24,Amp,,0.971,N,N,N,N,N,N
65,C17,0,B AIW00202 MNPC,HB9,UNKNOWN,FAM,NFQ-MGB,29.986,29.979,0.089,3.420,3.440,0.202,31.845,0.978,-3.483,93.709,1,0.155,1,3,25,Amp,,0.952,N,N,N,N,N,N
66,C18,0,B AIW00202 MNPC,HB9,UNKNOWN,FAM,NFQ-MGB,30.064,29.979,0.089,3.248,3.440,0.202,31.845,0.978,-3.483,93.709,1,0.155,1,3,24,Amp,,0.957,N,N,N,N,N,N
67,C19,0,B AIW00202 2WK,HB9,UNKNOWN,FAM,NFQ-MGB,27.597,27.776,0.160,16.589,14.796,1.596,31.845,0.978,-3.483,93.709,1,0.155,1,3,23,Amp,,0.946,N,N,N,N,N,N
68,C20,0,B AIW00202 2WK,HB9,UNKNOWN,FAM,NFQ-MGB,27.825,27.776,0.160,14.269,14.796,1.596,31.845,0.978,-3.483,93.709,1,0.155,1,3,23,Amp,,0.954,N,N,N,N,N,N
69,C21,0,B AIW00202 2WK,HB9,UNKNOWN,FAM,NFQ-MGB,27.906,27.776,0.160,13.531,14.796,1.596,31.845,0.978,-3.483,93.709,1,0.155,1,3,22,Amp,,0.950,N,N,N,N,N,N
70,C22,0,B AIW00202 4WK,HB9,UNKNOWN,FAM,NFQ-MGB,28.884,29.059,0.153,7.084,6.333,0.656,31.845,0.978,-3.483,93.709,1,0.155,1,3,25,Amp,,0.980,N,N,N,N,N,Y
71,C23,0,B AIW00202 4WK,HB9,UNKNOWN,FAM,NFQ-MGB,29.168,29.059,0.153,5.873,6.333,0.656,31.845,0.978,-3.483,93.709,1,0.155,1,3,24,Amp,,0.946,N,N,N,N,N,N
72,C24,0,B AIW00202 4WK,HB9,UNKNOWN,FAM,NFQ-MGB,29.125,29.059,0.153,6.042,6.333,0.656,31.845,0.978,-3.483,93.709,1,0.155,1,3,24,Amp,,0.937,N,N,N,N,N,N
73,D1,0,,ISL1,STANDARD,FAM,NFQ-MGB,24.596,24.692,0.103,12.500,,,28.415,0.985,-3.580,90.256,1,0.109,1,3,19,Amp,,0.944,N,N,N,N,N,N
74,D2,0,,ISL1,STANDARD,FAM,NFQ-MGB,24.679,24.692,0.103,12.500,,,28.415,0.985,-3.580,90.256,1,0.109,1,3,21,Amp,,0.925,N,N,N,N,N,N
75,D3,0,,ISL1,STANDARD,FAM,NFQ-MGB,24.801,24.692,0.103,12.500,,,28.415,0.985,-3.580,90.256,1,0.109,1,3,21,Amp,,0.927,N,N,N,N,N,N
85,D13,0,,HB9,STANDARD,FAM,NFQ-MGB,28.004,28.013,0.102,12.500,,,31.845,0.978,-3.483,93.709,1,0.155,1,3,22,Amp,,0.962,N,N,N,N,N,N
86,D14,0,,HB9,STANDARD,FAM,NFQ-MGB,27.916,28.013,0.102,12.500,,,31.845,0.978,-3.483,93.709,1,0.155,1,3,23,Amp,,0.955,N,N,N,N,Y,Y
87,D15,0,,HB9,STANDARD,FAM,NFQ-MGB,28.119,28.013,0.102,12.500,,,31.845,0.978,-3.483,93.709,1,0.155,1,3,23,Amp,,0.953,N,N,N,N,Y,N
97,E1,0,C AIW00202 iPSC,ISL1,UNKNOWN,FAM,NFQ-MGB,29.586,29.643,0.126,0.471,0.455,0.036,28.415,0.985,-3.580,90.256,1,0.109,1,3,25,Amp,,0.970,N,N,N,N,N,N
98,E2,0,C AIW00202 iPSC,ISL1,UNKNOWN,FAM,NFQ-MGB,29.788,29.643,0.126,0.414,0.455,0.036,28.415,0.985,-3.580,90.256,1,0.109,1,3,26,Amp,,0.932,N,N,N,N,N,N
99,E3,0,C AIW00202 iPSC,ISL1,UNKNOWN,FAM,NFQ-MGB,29.557,29.643,0.126,0.480,0.455,0.036,28.415,0.985,-3.580,90.256,1,0.109,1,3,26,Amp,,0.932,N,N,N,N,N,N
100,E4,0,C AIW00202 MNPC,ISL1,UNKNOWN,FAM,NFQ-MGB,31.331,31.334,0.436,0.153,0.157,0.044,28.415,0.985,-3.580,90.256,1,0.109,1,3,27,Amp,,0.921,N,N,N,N,N,N
101,E5,0,C AIW00202 MNPC,ISL1,UNKNOWN,FAM,NFQ-MGB,30.900,31.334,0.436,0.202,0.157,0.044,28.415,0.985,-3.580,90.256,1,0.109,1,3,26,Amp,,0.920,N,N,N,N,N,N
102,E6,0,C AIW00202 MNPC,ISL1,UNKNOWN,FAM,NFQ-MGB,31.772,31.334,0.436,0.115,0.157,0.044,28.415,0.985,-3.580,90.256,1,0.109,1,3,27,Amp,,0.925,N,N,N,N,N,N
103,E7,0,C AIW00202 2WK,ISL1,UNKNOWN,FAM,NFQ-MGB,22.916,23.008,0.089,34.375,32.418,1.871,28.415,0.985,-3.580,90.256,1,0.109,1,3,19,Amp,,0.847,N,N,N,N,N,N
104,E8,0,C AIW00202 2WK,ISL1,UNKNOWN,FAM,NFQ-MGB,23.094,23.008,0.089,30.647,32.418,1.871,28.415,0.985,-3.580,90.256,1,0.109,1,3,19,Amp,,0.828,N,N,N,N,N,N
105,E9,0,C AIW00202 2WK,ISL1,UNKNOWN,FAM,NFQ-MGB,23.016,23.008,0.089,32.231,32.418,1.871,28.415,0.985,-3.580,90.256,1,0.109,1,3,19,Amp,,0.870,N,N,N,N,N,N
106,E10,0,C AIW00202 4WK,ISL1,UNKNOWN,FAM,NFQ-MGB,25.060,25.203,0.141,8.655,7.913,0.720,28.415,0.985,-3.580,90.256,1,0.109,1,3,20,Amp,,0.927,N,N,N,N,N,N
107,E11,0,C AIW00202 4WK,ISL1,UNKNOWN,FAM,NFQ-MGB,25.208,25.203,0.141,7.869,7.913,0.720,28.415,0.985,-3.580,90.256,1,0.109,1,3,20,Amp,,0.949,N,N,N,N,N,N
108,E12,0,C AIW00202 4WK,ISL1,UNKNOWN,FAM,NFQ-MGB,25.343,25.203,0.141,7.216,7.913,0.720,28.415,0.985,-3.580,90.256,1,0.109,1,3,21,Amp,,0.934,N,N,N,N,N,N
109,E13,0,C AIW00202 iPSC,HB9,UNKNOWN,FAM,NFQ-MGB,36.770,37.587,0.717,0.039,0.024,0.012,31.845,0.978,-3.483,93.709,1,0.155,1,3,31,Amp,,0.823,N,N,Y,N,N,N
110,E14,0,C AIW00202 iPSC,HB9,UNKNOWN,FAM,NFQ-MGB,37.878,37.587,0.717,0.019,0.024,0.012,31.845,0.978,-3.483,93.709,1,0.155,1,3,32,Inconclusive,,0.765,Y,N,Y,N,N,N
111,E15,0,C AIW00202 iPSC,HB9,UNKNOWN,FAM,NFQ-MGB,38.114,37.587,0.717,0.016,0.024,0.012,31.845,0.978,-3.483,93.709,1,0.155,1,3,32,Inconclusive,,0.708,Y,N,Y,N,N,N
112,E16,0,C AIW00202 MNPC,HB9,UNKNOWN,FAM,NFQ-MGB,30.059,30.051,0.016,3.258,3.276,0.036,31.845,0.978,-3.483,93.709,1,0.155,1,3,25,Amp,,0.950,N,N,N,N,N,N
113,E17,0,C AIW00202 MNPC,HB9,UNKNOWN,FAM,NFQ-MGB,30.061,30.051,0.016,3.253,3.276,0.036,31.845,0.978,-3.483,93.709,1,0.155,1,3,25,Amp,,0.955,N,N,N,N,N,N
114,E18,0,C AIW00202 MNPC,HB9,UNKNOWN,FAM,NFQ-MGB,30.032,30.051,0.016,3.317,3.276,0.036,31.845,0.978,-3.483,93.709,1,0.155,1,3,25,Amp,,0.971,N,N,N,N,N,N
115,E19,0,C AIW00202 2WK,HB9,UNKNOWN,FAM,NFQ-MGB,27.530,27.841,0.309,17.340,14.316,2.914,31.845,0.978,-3.483,93.709,1,0.155,1,3,20,Amp,,0.956,N,N,N,N,N,N
116,E20,0,C AIW00202 2WK,HB9,UNKNOWN,FAM,NFQ-MGB,27.845,27.841,0.309,14.082,14.316,2.914,31.845,0.978,-3.483,93.709,1,0.155,1,3,23,Amp,,0.975,N,N,N,N,N,N
117,E21,0,C AIW00202 2WK,HB9,UNKNOWN,FAM,NFQ-MGB,28.148,27.841,0.309,11.526,14.316,2.914,31.845,0.978,-3.483,93.709,1,0.155,1,3,23,Amp,,0.963,N,N,N,N,N,N
118,E22,0,C AIW00202 4WK,HB9,UNKNOWN,FAM,NFQ-MGB,28.744,28.842,0.085,7.775,7.294,0.418,31.845,0.978,-3.483,93.709,1,0.155,1,3,25,Amp,,0.958,N,N,N,N,N,N
119,E23,0,C AIW00202 4WK,HB9,UNKNOWN,FAM,NFQ-MGB,28.899,28.842,0.085,7.016,7.294,0.418,31.845,0.978,-3.483,93.709,1,0.155,1,3,24,Amp,,0.952,N,N,N,N,N,N
120,E24,0,C AIW00202 4WK,HB9,UNKNOWN,FAM,NFQ-MGB,28.883,28.842,0.085,7.091,7.294,0.418,31.845,0.978,-3.483,93.709,1,0.155,1,3,23,Amp,,0.949,N,N,N,N,N,N
121,F1,0,,ISL1,STANDARD,FAM,NFQ-MGB,26.861,27.039,0.162,3.125,,,28.415,0.985,-3.580,90.256,1,0.109,1,3,21,Amp,,0.972,N,N,N,N,N,N
122,F2,0,,ISL1,STANDARD,FAM,NFQ-MGB,27.176,27.039,0.162,3.125,,,28.415,0.985,-3.580,90.256,1,0.109,1,3,22,Amp,,0.973,N,N,N,N,N,N
123,F3,0,,ISL1,STANDARD,FAM,NFQ-MGB,27.079,27.039,0.162,3.125,,,28.415,0.985,-3.580,90.256,1,0.109,1,3,23,Amp,,0.971,N,N,N,N,N,N
134,F14,0,,HB9,STANDARD,FAM,NFQ-MGB,30.274,30.280,0.008,3.125,,,31.845,0.978,-3.483,93.709,1,0.155,1,3,25,Amp,,0.942,N,N,N,N,N,N
135,F15,0,,HB9,STANDARD,FAM,NFQ-MGB,30.285,30.280,0.008,3.125,,,31.845,0.978,-3.483,93.709,1,0.155,1,3,25,Amp,,0.957,N,N,N,N,N,N
145,G1,0,A 3450 iPSC,ISL1,UNKNOWN,FAM,NFQ-MGB,33.512,33.581,0.084,0.038,0.036,0.002,28.415,0.985,-3.580,90.256,1,0.109,1,3,30,Amp,,0.901,N,N,N,N,N,N
146,G2,0,A 3450 iPSC,ISL1,UNKNOWN,FAM,NFQ-MGB,33.556,33.581,0.084,0.037,0.036,0.002,28.415,0.985,-3.580,90.256,1,0.109,1,3,29,Amp,,0.924,N,N,N,N,N,N
147,G3,0,A 3450 iPSC,ISL1,UNKNOWN,FAM,NFQ-MGB,33.675,33.581,0.084,0.034,0.036,0.002,28.415,0.985,-3.580,90.256,1,0.109,1,3,29,Amp,,0.897,N,N,N,N,N,N
148,G4,0,A 3450 MNPC,ISL1,UNKNOWN,FAM,NFQ-MGB,28.790,28.966,0.153,0.786,0.704,0.071,28.415,0.985,-3.580,90.256,1,0.109,1,3,24,Amp,,0.950,N,N,N,N,N,N
149,G5,0,A 3450 MNPC,ISL1,UNKNOWN,FAM,NFQ-MGB,29.047,28.966,0.153,0.666,0.704,0.071,28.415,0.985,-3.580,90.256,1,0.109,1,3,25,Amp,,0.942,N,N,N,N,N,N
150,G6,0,A 3450 MNPC,ISL1,UNKNOWN,FAM,NFQ-MGB,29.061,28.966,0.153,0.660,0.704,0.071,28.415,0.985,-3.580,90.256,1,0.109,1,3,25,Amp,,0.954,N,N,N,N,N,N
151,G7,0,A 3450 2WK,ISL1,UNKNOWN,FAM,NFQ-MGB,21.896,21.992,0.091,66.216,62.343,3.677,28.415,0.985,-3.580,90.256,1,0.109,1,3,18,Amp,,0.808,N,N,N,N,N,N
152,G8,0,A 3450 2WK,ISL1,UNKNOWN,FAM,NFQ-MGB,22.001,21.992,0.091,61.916,62.343,3.677,28.415,0.985,-3.580,90.256,1,0.109,1,3,18,Amp,,0.817,N,N,N,N,N,N
153,G9,0,A 3450 2WK,ISL1,UNKNOWN,FAM,NFQ-MGB,22.078,21.992,0.091,58.898,62.343,3.677,28.415,0.985,-3.580,90.256,1,0.109,1,3,17,Amp,,0.817,N,N,N,N,N,N
154,G10,0,A 3450 4WK,ISL1,UNKNOWN,FAM,NFQ-MGB,23.429,23.706,0.248,24.705,20.853,3.426,28.415,0.985,-3.580,90.256,1,0.109,1,3,19,Amp,,0.846,N,N,N,N,N,N
155,G11,0,A 3450 4WK,ISL1,UNKNOWN,FAM,NFQ-MGB,23.781,23.706,0.248,19.702,20.853,3.426,28.415,0.985,-3.580,90.256,1,0.109,1,3,19,Amp,,0.885,N,N,N,N,N,N
