Block Type,96-Well 0.2-mL Block,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background is expired ,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Background performed on,10-12-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration CM MELTDOCTOR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration CM MELTDOCTOR performed on,10-12-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ABY performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye FAM performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye JUN performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MELTDOCTOR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye MELTDOCTOR performed on,10-12-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye NED performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye ROX performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye SYBR performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye TAMRA performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC is expired,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calibration Pure Dye VIC performed on,08-24-2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,E1,FALSE,AiW002-2-IPSC,GAPDH,UNKNOWN,VIC,NFQ-MGB,22.614,22.523,0.145,5.515,5.83,0.507,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,18,Amp,,0.906,N,,,
50,E2,FALSE,AiW002-2-IPSC,GAPDH,UNKNOWN,VIC,NFQ-MGB,22.6,22.523,0.145,5.56,5.83,0.507,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,18,Amp,,0.903,N,,,
51,E3,FALSE,AiW002-2-IPSC,GAPDH,UNKNOWN,VIC,NFQ-MGB,22.357,22.523,0.145,6.415,5.83,0.507,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,17,Amp,,0.877,N,,,
52,E4,FALSE,AJG001C4-IPSC,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.533,21.588,0.048,10.407,10.082,0.289,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,17,Amp,,0.836,N,,,
53,E5,FALSE,AJG001C4-IPSC,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.626,21.588,0.048,9.855,10.082,0.289,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,17,Amp,,0.863,N,,,
54,E6,FALSE,AJG001C4-IPSC,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.604,21.588,0.048,9.985,10.082,0.289,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,17,Amp,,0.853,N,,,
55,E7,FALSE,NCRM1-IPSC,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.543,21.719,0.164,10.347,9.357,0.911,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,17,Amp,,0.84,N,,,
56,E8,FALSE,NCRM1-IPSC,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.749,21.719,0.164,9.167,9.357,0.911,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,17,Amp,,0.854,N,,,
57,E9,FALSE,NCRM1-IPSC,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.866,21.719,0.164,8.556,9.357,0.911,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,17,Amp,,0.837,N,,,
58,E10,FALSE,,GAPDH,STANDARD,VIC,NFQ-MGB,27.879,28.144,0.231,0.195,,,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,23,Amp,,0.963,N,,,
59,E11,FALSE,,GAPDH,STANDARD,VIC,NFQ-MGB,28.254,28.144,0.231,0.195,,,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,24,Amp,,0.962,N,,,
60,E12,FALSE,,GAPDH,STANDARD,VIC,NFQ-MGB,28.299,28.144,0.231,0.195,,,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,24,Amp,,0.955,N,,,
61,F1,FALSE,AiW002-2-NPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.838,21.77,0.06,8.702,9.059,0.316,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,17,Amp,,0.881,N,,,
62,F2,FALSE,AiW002-2-NPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.724,21.77,0.06,9.302,9.059,0.316,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,16,Amp,,0.836,N,,,
63,F3,FALSE,AiW002-2-NPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.748,21.77,0.06,9.174,9.059,0.316,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,17,Amp,,0.818,N,,,
64,F4,FALSE,AJG001C4-NPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.931,22.011,0.08,8.237,7.866,0.371,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,18,Amp,,0.846,N,,,
65,F5,FALSE,AJG001C4-NPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,22.092,22.011,0.08,7.494,7.866,0.371,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,18,Amp,,0.882,N,,,
66,F6,FALSE,AJG001C4-NPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,22.009,22.011,0.08,7.868,7.866,0.371,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,18,Amp,,0.881,N,,,
67,F7,FALSE,NCRM1-NPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.01,21.152,0.194,14.152,13.071,1.445,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,16,Amp,,0.799,Y,,,
68,F8,FALSE,NCRM1-NPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.074,21.152,0.194,13.631,13.071,1.445,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,16,Amp,,0.805,N,,,
69,F9,FALSE,NCRM1-NPC,GAPDH,UNKNOWN,VIC,NFQ-MGB,21.373,21.152,0.194,11.43,13.071,1.445,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,17,Amp,,0.813,N,,,
71,F11,FALSE,,GAPDH,STANDARD,VIC,NFQ-MGB,30.588,30.861,0.387,0.049,,,25.519,0.998,-3.918,79.973,TRUE,0.088,TRUE,3,26,Amp,,0.958,N,,,
