7,A7,522-266-2-IPSC,"RGB(0,0,255)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
8,A8,522-266-2-IPSC,"RGB(0,0,255)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
9,A9,522-266-2-IPSC,"RGB(0,0,255)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
10,A10,,,,,GRIN1,"RGB(176,23,31)",STANDARD,FAM,NFQ-MGB,50.000,
11,A11,,,,,GRIN1,"RGB(176,23,31)",STANDARD,FAM,NFQ-MGB,50.000,
12,A12,,,,,GRIN1,"RGB(176,23,31)",STANDARD,FAM,NFQ-MGB,50.000,
13,B1,AiW001-2-NPC,"RGB(0,0,255)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
14,B2,AiW001-2-NPC,"RGB(0,0,255)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
15,B3,AiW001-2-NPC,"RGB(0,0,255)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
16,B4,AJC001-5-NPC,"RGB(238,220,130)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
17,B5,AJC001-5-NPC,"RGB(238,220,130)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
18,B6,AJC001-5-NPC,"RGB(238,220,130)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
19,B7,522-266-2-NPC,"RGB(0,139,69)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
20,B8,522-266-2-NPC,"RGB(0,139,69)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
21,B9,522-266-2-NPC,"RGB(0,139,69)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
22,B10,,,,,GRIN1,"RGB(176,23,31)",STANDARD,FAM,NFQ-MGB,12.500,
23,B11,,,,,GRIN1,"RGB(176,23,31)",STANDARD,FAM,NFQ-MGB,12.500,
24,B12,,,,,GRIN1,"RGB(176,23,31)",STANDARD,FAM,NFQ-MGB,12.500,
25,C1,AiW001-2-DA4W,"RGB(0,139,69)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
26,C2,AiW001-2-DA4W,"RGB(0,139,69)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
27,C3,AiW001-2-DA4W,"RGB(0,139,69)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
28,C4,AJC001-5-DA4W,"RGB(238,238,0)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
29,C5,AJC001-5-DA4W,"RGB(238,238,0)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
30,C6,AJC001-5-DA4W,"RGB(238,238,0)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
31,C7,522-266-2-DA4W,"RGB(255,127,0)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
32,C8,522-266-2-DA4W,"RGB(255,127,0)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
33,C9,522-266-2-DA4W,"RGB(255,127,0)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
34,C10,,,,,GRIN1,"RGB(176,23,31)",STANDARD,FAM,NFQ-MGB,3.125,
35,C11,,,,,GRIN1,"RGB(176,23,31)",STANDARD,FAM,NFQ-MGB,3.125,
36,C12,,,,,GRIN1,"RGB(176,23,31)",STANDARD,FAM,NFQ-MGB,3.125,
37,D1,AiW001-2-DA6W,"RGB(255,127,0)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
38,D2,AiW001-2-DA6W,"RGB(255,127,0)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
39,D3,AiW001-2-DA6W,"RGB(255,127,0)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
40,D4,AJC001-5-DA6W,"RGB(142,142,56)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
41,D5,AJC001-5-DA6W,"RGB(142,142,56)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
42,D6,AJC001-5-DA6W,"RGB(142,142,56)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
43,D7,522-266-2-DA6W,"RGB(139,137,112)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
44,D8,522-266-2-DA6W,"RGB(139,137,112)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
45,D9,522-266-2-DA6W,"RGB(139,137,112)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
46,D10,,,,,GRIN1,"RGB(176,23,31)",STANDARD,FAM,NFQ-MGB,0.781,
47,D11,,,,,GRIN1,"RGB(176,23,31)",STANDARD,FAM,NFQ-MGB,0.781,
48,D12,,,,,GRIN1,"RGB(176,23,31)",STANDARD,FAM,NFQ-MGB,0.781,
49,E1,AiW002-2-IPSC,"RGB(139,137,112)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
50,E2,AiW002-2-IPSC,"RGB(139,137,112)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
51,E3,AiW002-2-IPSC,"RGB(139,137,112)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
52,E4,AJG001C4-IPSC,"RGB(238,44,44)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
53,E5,AJG001C4-IPSC,"RGB(238,44,44)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
54,E6,AJG001C4-IPSC,"RGB(238,44,44)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
55,E7,NCRM1-IPSC,"RGB(238,121,66)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
56,E8,NCRM1-IPSC,"RGB(238,121,66)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
57,E9,NCRM1-IPSC,"RGB(238,121,66)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
58,E10,,,,,GRIN1,"RGB(176,23,31)",STANDARD,FAM,NFQ-MGB,0.195,
59,E11,,,,,GRIN1,"RGB(176,23,31)",STANDARD,FAM,NFQ-MGB,0.195,
60,E12,,,,,GRIN1,"RGB(176,23,31)",STANDARD,FAM,NFQ-MGB,0.195,
61,F1,AiW002-2-NPC,"RGB(238,121,66)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
62,F2,AiW002-2-NPC,"RGB(238,121,66)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
63,F3,AiW002-2-NPC,"RGB(238,121,66)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
64,F4,AJG001C4-NPC,"RGB(51,161,201)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
65,F5,AJG001C4-NPC,"RGB(51,161,201)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
66,F6,AJG001C4-NPC,"RGB(51,161,201)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
67,F7,NCRM1-NPC,"RGB(142,56,142)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
68,F8,NCRM1-NPC,"RGB(142,56,142)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
69,F9,NCRM1-NPC,"RGB(142,56,142)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
70,F10,,,,,GRIN1,"RGB(176,23,31)",STANDARD,FAM,NFQ-MGB,0.049,
71,F11,,,,,GRIN1,"RGB(176,23,31)",STANDARD,FAM,NFQ-MGB,0.049,
72,F12,,,,,GRIN1,"RGB(176,23,31)",STANDARD,FAM,NFQ-MGB,0.049,
73,G1,AiW002-2-DA4W,"RGB(142,56,142)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
74,G2,AiW002-2-DA4W,"RGB(142,56,142)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
75,G3,AiW002-2-DA4W,"RGB(142,56,142)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
76,G4,AJG001C4-DA4W,"RGB(238,18,137)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
77,G5,AJG001C4-DA4W,"RGB(238,18,137)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
78,G6,AJG001C4-DA4W,"RGB(238,18,137)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
79,G7,NCRM1-DA4W,"RGB(198,113,113)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
80,G8,NCRM1-DA4W,"RGB(198,113,113)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
81,G9,NCRM1-DA4W,"RGB(198,113,113)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
82,G10,,,,,GRIN1,"RGB(176,23,31)",STANDARD,FAM,NFQ-MGB,0.012,
83,G11,,,,,GRIN1,"RGB(176,23,31)",STANDARD,FAM,NFQ-MGB,0.012,
84,G12,,,,,GRIN1,"RGB(176,23,31)",STANDARD,FAM,NFQ-MGB,0.012,
85,H1,AiW002-2-DA6W,"RGB(198,113,113)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
86,H2,AiW002-2-DA6W,"RGB(198,113,113)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
87,H3,AiW002-2-DA6W,"RGB(198,113,113)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
88,H4,AJG001C4-DA6W,"RGB(176,23,31)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
89,H5,AJG001C4-DA6W,"RGB(176,23,31)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
90,H6,AJG001C4-DA6W,"RGB(176,23,31)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
91,H7,NCRM1-DA6W,"RGB(0,245,255)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
92,H8,NCRM1-DA6W,"RGB(0,245,255)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
93,H9,NCRM1-DA6W,"RGB(0,245,255)",,,GRIN1,"RGB(176,23,31)",UNKNOWN,FAM,NFQ-MGB,,
94,H10,,,,,GRIN1,"RGB(176,23,31)",STANDARD,FAM,NFQ-MGB,0.003,
95,H11,,,,,GRIN1,"RGB(176,23,31)",STANDARD,FAM,NFQ-MGB,0.003,
96,H12,,,,,GRIN1,"RGB(176,23,31)",STANDARD,FAM,NFQ-MGB,0.003,
